,run,client,samples,noise,r2
1784,6,1,1000,1.0,0.5012485796149355
1785,6,2,100,1.0,0.12589918629202834
1786,6,2,138,1.0,0.33437545644686195
1787,6,2,193,1.0,0.39414405215852755
1788,6,2,268,1.0,0.3940787322950182
1789,6,2,372,1.0,0.45511547820575526
1790,6,2,517,1.0,0.45752149944300535
1791,6,2,719,1.0,0.4785915507017132
1792,6,2,1000,1.0,0.4793454720823942
1793,6,2,1389,1.0,0.49004074451533564
1794,6,2,1930,1.0,0.5004452455304012
1795,6,2,2682,1.0,0.49824534495373574
1796,6,2,3727,1.0,0.5008281294881034
1797,6,2,5179,1.0,0.5034841065001664
1798,6,2,7196,1.0,0.5062165465319297
1799,6,2,10000,1.0,0.5062165465319297
1800,6,0,10,3.1622776601683795,-3.4488104209381403
1801,6,0,11,3.1622776601683795,-3.0752133531757613
1802,6,0,13,3.1622776601683795,-2.689986644134357
1803,6,0,16,3.1622776601683795,-2.3913703275019302
1804,6,0,19,3.1622776601683795,-2.214315421837093
1805,6,0,22,3.1622776601683795,-2.0949284154222503
1806,6,0,26,3.1622776601683795,-1.6878116702571586
1807,6,0,31,3.1622776601683795,-1.4359052249919615
1808,6,0,37,3.1622776601683795,-1.2286065210269963
1809,6,0,43,3.1622776601683795,-0.9669391747537328
1810,6,0,51,3.1622776601683795,-0.7596362626376167
1811,6,0,61,3.1622776601683795,-0.5789864700961818
1812,6,0,71,3.1622776601683795,-0.28319529778880503
1813,6,0,84,3.1622776601683795,-0.14395944252888948
1814,6,0,100,3.1622776601683795,-0.14395944252888948
1815,6,1,31,3.1622776601683795,-2.922766681797012
1816,6,1,40,3.1622776601683795,-2.3661611358663586
1817,6,1,51,3.1622776601683795,-1.4524942945805992
1818,6,1,66,3.1622776601683795,-0.8168306656480941
1819,6,1,84,3.1622776601683795,-0.4747412646429119
1820,6,1,108,3.1622776601683795,-0.12825692151931278
1821,6,1,138,3.1622776601683795,-0.14371568671548984
1822,6,1,177,3.1622776601683795,-0.1418252105580835
1823,6,1,227,3.1622776601683795,-0.008599810972077293
1824,6,1,291,3.1622776601683795,-0.0037170457085393682
1825,6,1,372,3.1622776601683795,-0.08040350447177214
1826,6,1,477,3.1622776601683795,0.002575790137125611
1827,6,1,610,3.1622776601683795,-0.024509802697330496
1828,6,1,781,3.1622776601683795,-0.08182936746387526
1829,6,1,1000,3.1622776601683795,-0.08182936746387526
1830,6,2,100,3.1622776601683795,-1.3686250664828354
1831,6,2,138,3.1622776601683795,-0.54497272036575
1832,6,2,193,3.1622776601683795,-0.24590740239035425
1833,6,2,268,3.1622776601683795,0.10768411683868584
1834,6,2,372,3.1622776601683795,0.03755230395750486
1835,6,2,517,3.1622776601683795,-0.08008575614358926
1836,6,2,719,3.1622776601683795,0.000877712217978166
1837,6,2,1000,3.1622776601683795,0.06251792150416924
1838,6,2,1389,3.1622776601683795,0.05825780974721351
1839,6,2,1930,3.1622776601683795,0.06448357143577588
1840,6,2,2682,3.1622776601683795,0.06899772407966787
1841,6,2,3727,3.1622776601683795,0.0681040827051711
1842,6,2,5179,3.1622776601683795,0.05824857482005108
1843,6,2,7196,3.1622776601683795,0.06947298302274996
1844,6,2,10000,3.1622776601683795,0.06947298302274996
1845,6,0,10,10.0,-3.6097692808975186
1846,6,0,11,10.0,-3.626656288612919
1847,6,0,13,10.0,-3.551237626767385
1848,6,0,16,10.0,-3.5064978840839975
1849,6,0,19,10.0,-3.437123346271566
1850,6,0,22,10.0,-3.336246143176493
1851,6,0,26,10.0,-3.27310561297838
1852,6,0,31,10.0,-3.1955173439710274
1853,6,0,37,10.0,-3.144191265530595
1854,6,0,43,10.0,-3.0843317723095502
1855,6,0,51,10.0,-2.985274307620576
1856,6,0,61,10.0,-2.457329821283351
1857,6,0,71,10.0,-2.329654306629197
1858,6,0,84,10.0,-2.2614504907208572
1859,6,0,100,10.0,-2.2614504907208572
1860,6,1,31,10.0,-3.5431203802471822
1861,6,1,40,10.0,-3.4227257633486623
1862,6,1,51,10.0,-3.309835383091383
1863,6,1,66,10.0,-3.036129129442381
1864,6,1,84,10.0,-2.7158046241497296
1865,6,1,108,10.0,-2.4185465464095937
1866,6,1,138,10.0,-2.580203608233907
1867,6,1,177,10.0,-1.2884816907615417
1868,6,1,227,10.0,-2.0212997676758486
1869,6,1,291,10.0,-1.9264985057833641
1870,6,1,372,10.0,-1.727136126187974
1871,6,1,477,10.0,-1.873516727883838
1872,6,1,610,10.0,-1.8858229421435952
1873,6,1,781,10.0,-2.0787475669583766
1874,6,1,1000,10.0,-2.0787475669583766
1875,6,2,100,10.0,-2.7629240432490043
1876,6,2,138,10.0,-2.287323176640934
1877,6,2,193,10.0,-1.6830828534756952
1878,6,2,268,10.0,-1.6153377740636734
1879,6,2,372,10.0,-1.5898915648092022
1880,6,2,517,10.0,-1.7152690795021952
1881,6,2,719,10.0,-1.8077752421606954
1882,6,2,1000,10.0,-1.8046393960605398
1883,6,2,1389,10.0,-1.7560826198576143
1884,6,2,1930,10.0,-1.7665178681110696
1885,6,2,2682,10.0,-1.7624319198182965
1886,6,2,3727,10.0,-1.7313591467192024
1887,6,2,5179,10.0,-1.7211464887555632
1888,6,2,7196,10.0,-1.748283792386995
1889,6,2,10000,10.0,-1.748283792386995
1890,7,0,10,-99.0,-2.2990041073276464
1891,7,0,11,-99.0,-0.9391482436311565
1892,7,0,13,-99.0,-0.31266328875170313
1893,7,0,16,-99.0,-0.2462741508261348
1894,7,0,19,-99.0,-0.0351841377701585
1895,7,0,22,-99.0,0.18327384431359517
1896,7,0,26,-99.0,0.2612644139390208
1897,7,0,31,-99.0,0.17855964170810623
1898,7,0,37,-99.0,0.35163954512454965
1899,7,0,43,-99.0,0.3643199587171967
1900,7,0,51,-99.0,0.46714636899664075
1901,7,0,61,-99.0,0.4735265290216638
1902,7,0,71,-99.0,0.4861891308683184
1903,7,0,84,-99.0,0.5081185622408796
1904,7,0,100,-99.0,0.5081185622408796
1905,7,1,31,-99.0,0.27910852454368573
1906,7,1,40,-99.0,0.2835896821186161
1907,7,1,51,-99.0,0.2823082843860757
1908,7,1,66,-99.0,0.3029626159718948
1909,7,1,84,-99.0,0.286584274425032
1910,7,1,108,-99.0,0.36271773576988275
1911,7,1,138,-99.0,0.44990899874902335
1912,7,1,177,-99.0,0.46537820098288907
1913,7,1,227,-99.0,0.4980440020648985
1914,7,1,291,-99.0,0.5142549953553053
1915,7,1,372,-99.0,0.5233399027452214
1916,7,1,477,-99.0,0.5459876985684098
1917,7,1,610,-99.0,0.5843041736837644
1918,7,1,781,-99.0,0.6044711213879923
1919,7,1,1000,-99.0,0.6044711213879923
1920,7,2,100,-99.0,0.4463036504809411
1921,7,2,138,-99.0,0.4682290911918946
1922,7,2,193,-99.0,0.5390392544829052
1923,7,2,268,-99.0,0.6295454633048512
1924,7,2,372,-99.0,0.6452467930924979
1925,7,2,517,-99.0,0.6681630279390937
1926,7,2,719,-99.0,0.6837128373896646
1927,7,2,1000,-99.0,0.7009607567262539
1928,7,2,1389,-99.0,0.6882935348298829
1929,7,2,1930,-99.0,0.7011550509084558
1930,7,2,2682,-99.0,0.699067421303444
1931,7,2,3727,-99.0,0.7038519009393087
1932,7,2,5179,-99.0,0.7033049919346728
1933,7,2,7196,-99.0,0.7085165664757656
1934,7,2,10000,-99.0,0.7085165664757656
1935,7,0,10,0.1,-2.3054751910135782
1936,7,0,11,0.1,-0.91288667467905
1937,7,0,13,0.1,-0.32077653613503854
1938,7,0,16,0.1,-0.19821548202796668
1939,7,0,19,0.1,-0.0015097574481706122
1940,7,0,22,0.1,0.17988019821070333
1941,7,0,26,0.1,0.2633667427597851
1942,7,0,31,0.1,0.1936466096957571
1943,7,0,37,0.1,0.3475151236942232
1944,7,0,43,0.1,0.3698969563855462
