,run,client,samples,r2
212,4,2,193,0.5471448775529109
213,4,2,268,0.5957888466900207
214,4,2,372,0.5982838018966112
215,4,2,517,0.6224922980621117
216,4,2,719,0.6518769235384236
217,4,2,1000,0.6519082481902712
218,4,2,1389,0.6579558411155833
219,4,2,1930,0.6669112281152665
220,4,2,2682,0.6742614784575218
221,4,2,3727,0.6834520750847759
222,4,2,5179,0.6928471781215607
223,4,2,7196,0.6956144088630374
224,4,2,10000,0.6956144088630374
225,5,0,10,-2.2184454468778383
226,5,0,11,-0.9619101894273998
227,5,0,13,-0.1459578421240455
228,5,0,16,0.10055567970679091
229,5,0,19,0.05804042245909746
230,5,0,22,0.16574619742960084
231,5,0,26,0.09342835857223797
232,5,0,31,0.17564552441486658
233,5,0,37,0.2798373986539603
234,5,0,43,0.2552251934639118
235,5,0,51,0.3483063497794695
236,5,0,61,0.33091402215417587
237,5,0,71,0.33493287817245576
238,5,0,84,0.3738598352984912
239,5,0,100,0.3738598352984912
240,5,1,31,-0.09832844929606854
241,5,1,40,0.12323563486513378
242,5,1,51,0.20994613115845717
243,5,1,66,0.469150422108208
244,5,1,84,0.47217691132315975
245,5,1,108,0.5279970598806026
246,5,1,138,0.5718545993969752
247,5,1,177,0.5710004849135216
248,5,1,227,0.5950972977436823
249,5,1,291,0.622773345396616
250,5,1,372,0.6333153499326827
251,5,1,477,0.6346180165680156
252,5,1,610,0.6540687953417812
253,5,1,781,0.6767553601130951
254,5,1,1000,0.6767553601130951
255,5,2,100,0.09620644078595286
256,5,2,138,0.4207028810771235
257,5,2,193,0.5722284604338852
258,5,2,268,0.6606092815626168
259,5,2,372,0.6870492312933186
260,5,2,517,0.718502104689344
261,5,2,719,0.7358010677533044
262,5,2,1000,0.7381116713350493
263,5,2,1389,0.74540773994228
264,5,2,1930,0.7496016784050126
265,5,2,2682,0.7544818781318114
266,5,2,3727,0.7617585834121364
267,5,2,5179,0.7662490128858477
268,5,2,7196,0.7695426372293339
269,5,2,10000,0.7695426372293339
270,6,0,10,-2.9986519572441983
271,6,0,11,-1.741946274823043
272,6,0,13,-1.3014683647397516
273,6,0,16,-0.4463584526557467
274,6,0,19,0.050426758638013824
275,6,0,22,0.05888018191827227
