,run,client,samples,noise,r2
152,0,1,51,3,0.017314146914577222
153,0,1,66,3,0.18240316032910464
154,0,1,84,3,0.34172506792989654
155,0,1,108,3,0.45669030729966675
156,0,1,138,3,0.4707377863844059
157,0,1,177,3,0.4618031893334984
158,0,1,227,3,0.5102270943027892
159,0,1,291,3,0.5232767201825279
160,0,1,372,3,0.5311756381383754
161,0,1,477,3,0.5789258828436763
162,0,1,610,3,0.6262383961198359
163,0,1,781,3,0.6384976453164612
164,0,1,1000,3,0.6384976453164612
165,0,2,100,3,0.34888808430244733
166,0,2,138,3,0.5541985016636579
167,0,2,193,3,0.5769456336523154
168,0,2,268,3,0.6055254056818624
169,0,2,372,3,0.6263850620629956
170,0,2,517,3,0.6638440687702569
171,0,2,719,3,0.6736413893011586
172,0,2,1000,3,0.6777021779819015
173,0,2,1389,3,0.6783093206318432
174,0,2,1930,3,0.701315991015087
175,0,2,2682,3,0.7157507080787859
176,0,2,3727,3,0.7131955824865635
177,0,2,5179,3,0.7151514802856505
178,0,2,7196,3,0.7144416707355724
179,0,2,10000,3,0.7144416707355724
180,0,0,10,4,-1.0418921120281732
181,0,0,11,4,-1.042279246163274
182,0,0,13,4,-0.8506757692371807
183,0,0,16,4,-0.11304949182348367
184,0,0,19,4,0.016830972214952777
185,0,0,22,4,0.06335293631524608
186,0,0,26,4,0.189600295241389
187,0,0,31,4,0.3206045315018635
188,0,0,37,4,0.42522501726892725
189,0,0,43,4,0.5518900338600377
190,0,0,51,4,0.586421526670948
191,0,0,61,4,0.6013132423181619
192,0,0,71,4,0.5770756195450755
193,0,0,84,4,0.5936571032258972
194,0,0,100,4,0.5936571032258972
195,0,1,31,4,-0.8818514880376234
196,0,1,40,4,-0.3522806257167608
197,0,1,51,4,0.13939669044806913
198,0,1,66,4,0.27573666139134567
199,0,1,84,4,0.40404152207500776
200,0,1,108,4,0.4472768615887919
201,0,1,138,4,0.4756946028513548
202,0,1,177,4,0.4770413864629294
203,0,1,227,4,0.5196338921193506
204,0,1,291,4,0.5273780411370028
205,0,1,372,4,0.5291715653176776
206,0,1,477,4,0.5773635094555293
207,0,1,610,4,0.61548979976844
208,0,1,781,4,0.636172242463102
209,0,1,1000,4,0.636172242463102
210,0,2,100,4,0.3538615517208237
211,0,2,138,4,0.49056205407396214
212,0,2,193,4,0.535311256232045
213,0,2,268,4,0.5622352681410681
214,0,2,372,4,0.5912527012609379
215,0,2,517,4,0.645371651932982
216,0,2,719,4,0.6516362234163474
217,0,2,1000,4,0.659487908355793
218,0,2,1389,4,0.6636669629824499
219,0,2,1930,4,0.6902451054999521
220,0,2,2682,4,0.7043738013630153
221,0,2,3727,4,0.7084826541162141
222,0,2,5179,4,0.7113911364471851
223,0,2,7196,4,0.7138220081089476
224,0,2,10000,4,0.7138220081089476
225,0,0,10,5,-0.9415946516031981
226,0,0,11,5,-0.9608682831742894
227,0,0,13,5,-0.7666199788260162
228,0,0,16,5,-0.06498194068814844
229,0,0,19,5,0.07011438222921562
230,0,0,22,5,0.11406230759972613
231,0,0,26,5,0.23704861750064166
232,0,0,31,5,0.33996960671738397
233,0,0,37,5,0.45516708628263014
234,0,0,43,5,0.5819134219364283
235,0,0,51,5,0.5952625599379172
236,0,0,61,5,0.6248813574121853
237,0,0,71,5,0.6010752762847266
238,0,0,84,5,0.6070946199712106
239,0,0,100,5,0.6070946199712106
240,0,1,31,5,-0.11780442620139842
241,0,1,40,5,0.0890413104576877
242,0,1,51,5,0.20059424569699114
243,0,1,66,5,0.17940263821848879
244,0,1,84,5,0.32042417110767085
245,0,1,108,5,0.4438091801904417
246,0,1,138,5,0.4669391151382408
247,0,1,177,5,0.4413695346745343
248,0,1,227,5,0.4960155355564778
249,0,1,291,5,0.5029329436803605
250,0,1,372,5,0.5086683368745708
251,0,1,477,5,0.5587149532035588
252,0,1,610,5,0.6068465497597995
253,0,1,781,5,0.6224902057870575
254,0,1,1000,5,0.6224902057870575
255,0,2,100,5,0.35979701583805135
