,run,client,samples,noise,r2
1814,7,c1_c3,7296,0.2,0.6725381643225488
1815,7,c1_c3,10100,0.2,0.6725381643225488
1816,7,c2_c3,1000,0.2,0.6275781981403985
1817,7,c2_c3,1100,0.2,0.6181737374734297
1818,7,c2_c3,1138,0.2,0.617134076596493
1819,7,c2_c3,1193,0.2,0.6209628092180385
1820,7,c2_c3,1268,0.2,0.6197283271934642
1821,7,c2_c3,1372,0.2,0.6317328634028855
1822,7,c2_c3,1517,0.2,0.6237644649693433
1823,7,c2_c3,1719,0.2,0.6207054298919645
1824,7,c2_c3,2000,0.2,0.6202992495481912
1825,7,c2_c3,2389,0.2,0.6210267631024575
1826,7,c2_c3,2930,0.2,0.6185220130952402
1827,7,c2_c3,3682,0.2,0.6159354607889466
1828,7,c2_c3,4727,0.2,0.6081643819631983
1829,7,c2_c3,6179,0.2,0.6127266927127113
1830,7,c2_c3,8196,0.2,0.6273085814773807
1831,7,c2_c3,11000,0.2,0.6273085814773807
1832,7,c1_c2,100,0.2,0.5285205746225713
1833,7,c1_c2,131,0.2,0.501317461298604
1834,7,c1_c2,140,0.2,0.5176137399836871
1835,7,c1_c2,151,0.2,0.5055468305855406
1836,7,c1_c2,166,0.2,0.501411711603359
1837,7,c1_c2,184,0.2,0.5344812686953497
1838,7,c1_c2,208,0.2,0.5111009480467306
1839,7,c1_c2,238,0.2,0.5528101037373317
1840,7,c1_c2,277,0.2,0.5661683465501302
1841,7,c1_c2,327,0.2,0.5576509561609958
1842,7,c1_c2,391,0.2,0.5207662187067059
1843,7,c1_c2,472,0.2,0.5356828194249723
1844,7,c1_c2,577,0.2,0.5496591761018699
1845,7,c1_c2,710,0.2,0.5805016336879958
1846,7,c1_c2,881,0.2,0.5982004610786231
1847,7,c1_c2,1100,0.2,0.5982004610786231
1848,7,c1_c3,100,0.35,0.5285205746225713
1849,7,c1_c3,200,0.35,0.5357965771638669
1850,7,c1_c3,238,0.35,0.4729096834307287
1851,7,c1_c3,293,0.35,0.48918586490360627
1852,7,c1_c3,368,0.35,0.4768681026537184
1853,7,c1_c3,472,0.35,0.4779059281979149
1854,7,c1_c3,617,0.35,0.5267630793630387
1855,7,c1_c3,819,0.35,0.5224917200687671
1856,7,c1_c3,1100,0.35,0.5382113058804463
1857,7,c1_c3,1489,0.35,0.5580332717380196
1858,7,c1_c3,2030,0.35,0.5626796695990108
1859,7,c1_c3,2782,0.35,0.5705038360425541
1860,7,c1_c3,3827,0.35,0.5730064436767122
1861,7,c1_c3,5279,0.35,0.5768555425572672
1862,7,c1_c3,7296,0.35,0.5836780340231618
1863,7,c1_c3,10100,0.35,0.5836780340231618
1864,7,c2_c3,1000,0.35,0.6275781981403985
1865,7,c2_c3,1100,0.35,0.6230335779042748
1866,7,c2_c3,1138,0.35,0.6172571487030825
1867,7,c2_c3,1193,0.35,0.6174945938812877
1868,7,c2_c3,1268,0.35,0.6151879061318442
1869,7,c2_c3,1372,0.35,0.5990268276910091
1870,7,c2_c3,1517,0.35,0.5990178150601044
1871,7,c2_c3,1719,0.35,0.5945550201247143
1872,7,c2_c3,2000,0.35,0.5938599302657017
1873,7,c2_c3,2389,0.35,0.5905048835364942
1874,7,c2_c3,2930,0.35,0.5948425334042269
1875,7,c2_c3,3682,0.35,0.5852608636904345
1876,7,c2_c3,4727,0.35,0.5765220304123846
1877,7,c2_c3,6179,0.35,0.5729671137302392
1878,7,c2_c3,8196,0.35,0.570352517094881
1879,7,c2_c3,11000,0.35,0.570352517094881
1880,7,c1_c2,100,0.35,0.5285205746225713
1881,7,c1_c2,131,0.35,0.49897098578127275
1882,7,c1_c2,140,0.35,0.4925005430400875
1883,7,c1_c2,151,0.35,0.4625922447904425
1884,7,c1_c2,166,0.35,0.4362015793718257
1885,7,c1_c2,184,0.35,0.48548184464936917
1886,7,c1_c2,208,0.35,0.5305247057856055
1887,7,c1_c2,238,0.35,0.4793334879671274
1888,7,c1_c2,277,0.35,0.48572316237058677
1889,7,c1_c2,327,0.35,0.4692740892854218
1890,7,c1_c2,391,0.35,0.4580087705273358
1891,7,c1_c2,472,0.35,0.46911931905485993
1892,7,c1_c2,577,0.35,0.4974872036797391
1893,7,c1_c2,710,0.35,0.5047141357426028
1894,7,c1_c2,881,0.35,0.5069175304696629
1895,7,c1_c2,1100,0.35,0.5069175304696629
1896,8,0,10,0.0,-2.998467226906405
1897,8,0,11,0.0,-0.5141347819566149
1898,8,0,13,0.0,-0.1684819104746107
1899,8,0,16,0.0,0.1300073693925189
1900,8,0,19,0.0,0.16145497802592068
1901,8,0,22,0.0,0.17590058677274345
1902,8,0,26,0.0,0.15032132167040146
1903,8,0,31,0.0,0.1903082266790278
1904,8,0,37,0.0,0.4422943666338429
1905,8,0,43,0.0,0.4084087703092515
1906,8,0,51,0.0,0.47041928237210007
1907,8,0,61,0.0,0.5469460880545325
1908,8,0,71,0.0,0.5602008486300754
1909,8,0,84,0.0,0.5868881550923599
1910,8,0,100,0.0,0.5868881550923599
1911,8,1,31,0.0,-0.3146370176501092
1912,8,1,40,0.0,-0.13144248869952446
1913,8,1,51,0.0,0.24384123760971277
1914,8,1,66,0.0,0.38797934137633183
1915,8,1,84,0.0,0.3947101173052946
1916,8,1,108,0.0,0.4382034989767878
1917,8,1,138,0.0,0.4704517553119075
1918,8,1,177,0.0,0.5174032716694515
1919,8,1,227,0.0,0.528091414675695
1920,8,1,291,0.0,0.527117685353806
1921,8,1,372,0.0,0.5505066830785317
1922,8,1,477,0.0,0.5686431482375697
1923,8,1,610,0.0,0.5867066019912415
1924,8,1,781,0.0,0.5915190394664458
1925,8,1,1000,0.0,0.5915190394664458
1926,8,2,100,0.0,0.26332616310216506
1927,8,2,138,0.0,0.35897240711853795
1928,8,2,193,0.0,0.4080043068752398
1929,8,2,268,0.0,0.45008054735543324
1930,8,2,372,0.0,0.5388050660678333
1931,8,2,517,0.0,0.5486006776023447
1932,8,2,719,0.0,0.5542015775438504
1933,8,2,1000,0.0,0.587164008895468
1934,8,2,1389,0.0,0.5759232866374904
1935,8,2,1930,0.0,0.58237085708685
1936,8,2,2682,0.0,0.5894350617681312
1937,8,2,3727,0.0,0.5976144687097472
1938,8,2,5179,0.0,0.598243352254898
1939,8,2,7196,0.0,0.595003310012227
1940,8,2,10000,0.0,0.595003310012227
1941,8,c1_c3,100,0.0,0.5978257715658245
1942,8,c1_c3,200,0.0,0.6189975068131615
1943,8,c1_c3,238,0.0,0.6422491817962106
1944,8,c1_c3,293,0.0,0.67354624964055
1945,8,c1_c3,368,0.0,0.6794012212696258
1946,8,c1_c3,472,0.0,0.7080054249139528
1947,8,c1_c3,617,0.0,0.7107090716391689
1948,8,c1_c3,819,0.0,0.7064390690154084
1949,8,c1_c3,1100,0.0,0.7090723387444122
1950,8,c1_c3,1489,0.0,0.7102609871937848
1951,8,c1_c3,2030,0.0,0.713082977941663
1952,8,c1_c3,2782,0.0,0.7174453612953788
1953,8,c1_c3,3827,0.0,0.7208783067096698
1954,8,c1_c3,5279,0.0,0.7229020627160162
1955,8,c1_c3,7296,0.0,0.7242921600564562
1956,8,c1_c3,10100,0.0,0.7242921600564562
1957,8,c2_c3,1000,0.0,0.5907698486420747
1958,8,c2_c3,1100,0.0,0.5874136866928613
1959,8,c2_c3,1138,0.0,0.5861738501542986
1960,8,c2_c3,1193,0.0,0.5873509384883867
1961,8,c2_c3,1268,0.0,0.590867172872797
1962,8,c2_c3,1372,0.0,0.6033000241034644
1963,8,c2_c3,1517,0.0,0.6065520293407181
1964,8,c2_c3,1719,0.0,0.6091859992697914
1965,8,c2_c3,2000,0.0,0.6148284473369446
1966,8,c2_c3,2389,0.0,0.6233168237511582
1967,8,c2_c3,2930,0.0,0.6262764215048696
1968,8,c2_c3,3682,0.0,0.6206157441807008
1969,8,c2_c3,4727,0.0,0.6217464972325022
1970,8,c2_c3,6179,0.0,0.6227946365361776
1971,8,c2_c3,8196,0.0,0.6248058614128066
1972,8,c2_c3,11000,0.0,0.6248058614128066
1973,8,c1_c2,100,0.0,0.5978257715658245
1974,8,c1_c2,131,0.0,0.5955632182899624
1975,8,c1_c2,140,0.0,0.5987304529334754
1976,8,c1_c2,151,0.0,0.6134978643426914
1977,8,c1_c2,166,0.0,0.6213198445630099
1978,8,c1_c2,184,0.0,0.6407797040100206
1979,8,c1_c2,208,0.0,0.6457724856983579
1980,8,c1_c2,238,0.0,0.6312547275929871
1981,8,c1_c2,277,0.0,0.6266624363715898
1982,8,c1_c2,327,0.0,0.6317373506004093
1983,8,c1_c2,391,0.0,0.6372506445166092
1984,8,c1_c2,472,0.0,0.6434914765622683
1985,8,c1_c2,577,0.0,0.6494606674739172
1986,8,c1_c2,710,0.0,0.661483283748233
1987,8,c1_c2,881,0.0,0.6750305322554002
1988,8,c1_c2,1100,0.0,0.6750305322554002
1989,8,c1_c3,100,0.1,0.5978257715658245
1990,8,c1_c3,200,0.1,0.5850570530077635
1991,8,c1_c3,238,0.1,0.6014301868509728
1992,8,c1_c3,293,0.1,0.6465967331580185
1993,8,c1_c3,368,0.1,0.6504472111640738
1994,8,c1_c3,472,0.1,0.6646364486411561
1995,8,c1_c3,617,0.1,0.6778712420191246
1996,8,c1_c3,819,0.1,0.6786766150288217
1997,8,c1_c3,1100,0.1,0.6768039834570345
1998,8,c1_c3,1489,0.1,0.6821661644529988
1999,8,c1_c3,2030,0.1,0.6841211714657034
2000,8,c1_c3,2782,0.1,0.6908008146005488
